word,sentiment
kiltti,1
hassu,1
ihana,1
laiton,-1
myrkyllinen,-1
hyvä,1
hauska,1
erinomainen,2
onnellinen,1
paha,-1
rauhallinen,1
eloisa,1
pyhä,1
kaunis,1
ehdoton,1
kauneimmillaan,1
kauhea,-1
älytön,-1
ruma,-1
kostea,-1
paras,1
nerokas,1
tyhmä,-1
asiallinen,1
mätä,-1
hullu,-2
haluttava,1
ilonen,1
loistava,1
typerä,-1
katkera,-2
hyväkuntoinen,1
idioottimainen,-2
rakas,2
työtön,-1
typeräuskoinen,-1
olllut,1
raukea,1
hyväkäytöksinen,1
energinen,1
komea,1
vainoharhainen,-2
reilu,1
pessimistinen,-2
vihainen,-1
naisellinen,1
ystävällinen,1
psyykkinen,1
huikea,1
kiusallinen,-1
parhain,1
hohdokas,1
syntinen,-1
ihquuuu,1
ihquuu,1
upea,1
iloinen,1
murhanhimoinen,-4
rohkea,1
väkivaltainen,-1
kauneimmista,1
hyvännäköinen,1
ruumiillinen,1
yllätyksetön,1
hirveä,-1
unohtumaton,1
ylpeä,1
liikkuva,1
rikollinen,-1
avulias,1
romanttinen,2
hyvälaatuinen,1
surullinen,-1
rakastavainen,2
armollinen,2
hirvittävä,-2
inhottava,-2
rauhantahtoinen,1
rikolinen,-1
rauhaisa,1
hellä,1
suloinen,1
paskimpiaei,-1
pahainen,-1
hyökkäs,-2
kaunein,1
hengellinen,1
vahingollinen,-1
pahanmakuinen,-1
sielunhoidollinen,1
kunnialoukkaavia,1
kurja,-1
söpö,1
isanmaallisiin,1
vihoviimeinen,-1
vaarratomampaa,1
rasistinen,-2
sekopäinen,-1
tuskainen,-1
mukaansatempaava,1
asennevammainen,-1
nautinnollinen,1
terroristinen,-3
tyhmää,-1
arvokas,1
epätoivoinen,-1
kiltti,1
kiusattu,-1
hyväsydäminen,1
myrkkypitoinen,-1
iloseks,1
kurvikas,1
aloitekykyinen,1
seksikäs,1
vastenmielinen,-1
suvaitseva,1
huuhaa lainen,-1
suvaitsevainen,1
narsistinen,-1
rahaton,-1
mielisairas,-2
pilkallinen,-1
hyvän,1
aviollinen,1
urhoollinen,1
aseeton,1
tuskallinen,-1
maukas,1
tasokkaamista,1
aseellinen,-1
ihanteellinen,1
kusetuksella,-1
idioottivarma,-2
uudentyyppinen,1
kusipäinen,-1
ammattimainen,1
aktiiivinen,1
reaktiiviinen,1
ihailtava,1
ahkera,1
retardi,-2
holtiton,-1
laajalevikkinen,1
vittumainen,-3
kauneimmat,1
armas,1
hyvvää,1
inhottavvaa,-3
tuhoisa,-1
kilttiuskollinen,1
inhoittavinta,-2
kaoottinen,-1
sankarillinen,1
fantastinen,1
maahanmuuttokriittinen,1
maailmalaaja,1
tuhoton,-1
iiiihanaa,2
kiusaamsta,-1
kiilarimulkku,-2
kauniis,1
